"","kingdom","phylum","class","order","family","genus","species"
"ASV_1502","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Zymoseptoria",NA
"ASV_1503","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__umbrinella"
"ASV_1504","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Acrospermales","f__Acrospermaceae","g__Oomyces",NA
"ASV_1505",NA,NA,NA,NA,NA,NA,NA
"ASV_1506",NA,NA,NA,NA,NA,NA,NA
"ASV_1507",NA,NA,NA,NA,NA,NA,NA
"ASV_1508","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales",NA,NA,NA
"ASV_1509",NA,NA,NA,NA,NA,NA,NA
"ASV_1510",NA,NA,NA,NA,NA,NA,NA
"ASV_1511","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_1512","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae",NA,NA
"ASV_1513","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"ASV_1514","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Melanophoma",NA
"ASV_1515","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Steccherinaceae","g__Fibricium",NA
"ASV_1516",NA,NA,NA,NA,NA,NA,NA
"ASV_1517",NA,NA,NA,NA,NA,NA,NA
"ASV_1518",NA,NA,NA,NA,NA,NA,NA
"ASV_1519","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium",NA
"ASV_1520","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lycoperdaceae","g__Lycoperdon","s__utriforme"
"ASV_1521",NA,NA,NA,NA,NA,NA,NA
"ASV_1522",NA,NA,NA,NA,NA,NA,NA
"ASV_1523",NA,NA,NA,NA,NA,NA,NA
"ASV_1524",NA,NA,NA,NA,NA,NA,NA
"ASV_1525",NA,NA,NA,NA,NA,NA,NA
"ASV_1526",NA,NA,NA,NA,NA,NA,NA
"ASV_1527","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Wojnowiciella","s__kunmingensis"
"ASV_1528",NA,NA,NA,NA,NA,NA,NA
"ASV_1529",NA,NA,NA,NA,NA,NA,NA
"ASV_1530",NA,NA,NA,NA,NA,NA,NA
"ASV_1531","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora",NA
"ASV_1532",NA,NA,NA,NA,NA,NA,NA
"ASV_1533","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Ganodermataceae","g__Ganoderma",NA
"ASV_1534",NA,NA,NA,NA,NA,NA,NA
"ASV_1535",NA,NA,NA,NA,NA,NA,NA
"ASV_1536","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma",NA
"ASV_1537",NA,NA,NA,NA,NA,NA,NA
"ASV_1538","k__Fungi","p__Basidiobolomycota","c__Basidiobolomycota_cls_Incertae_sedis","o__Basidiobolomycota_ord_Incertae_sedis","f__Basidiobolomycota_fam_Incertae_sedis","g__Basidiobolomycota_gen_Incertae_sedis",NA
"ASV_1539","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Cymbellales","f__Gomphonemataceae","g__Gomphonema","s__parvulum"
"ASV_1540",NA,NA,NA,NA,NA,NA,NA
"ASV_1541","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Chaetomellaceae","g__Pilidium",NA
"ASV_1542",NA,NA,NA,NA,NA,NA,NA
"ASV_1543",NA,NA,NA,NA,NA,NA,NA
"ASV_1544","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Phallales","f__Gastrosporiaceae","g__Gastrosporium","s__simplex"
"ASV_1545",NA,NA,NA,NA,NA,NA,NA
"ASV_1546",NA,NA,NA,NA,NA,NA,NA
"ASV_1547",NA,NA,NA,NA,NA,NA,NA
"ASV_1548","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"ASV_1549",NA,NA,NA,NA,NA,NA,NA
"ASV_1550","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricales_fam_Incertae_sedis","g__Granulobasidium","s__vellereum"
"ASV_1551","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae",NA,NA
"ASV_1552","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__ellisii"
"ASV_1553",NA,NA,NA,NA,NA,NA,NA
"ASV_1554",NA,NA,NA,NA,NA,NA,NA
"ASV_1555","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Massarinaceae","g__Stagonospora","s__pseudoperfecta"
"ASV_1556","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"ASV_1557",NA,NA,NA,NA,NA,NA,NA
"ASV_1558","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__dioscoreae"
"ASV_1559","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Clonostachys","s__rosea"
"ASV_1560","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Erythrobasidium",NA
"ASV_1561","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA
"ASV_1562",NA,NA,NA,NA,NA,NA,NA
"ASV_1563",NA,NA,NA,NA,NA,NA,NA
"ASV_1564",NA,NA,NA,NA,NA,NA,NA
"ASV_1565",NA,NA,NA,NA,NA,NA,NA
"ASV_1566","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA
"ASV_1567","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe",NA
"ASV_1568","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Leptosphaeria","s__maculans"
"ASV_1569",NA,NA,NA,NA,NA,NA,NA
"ASV_1570",NA,NA,NA,NA,NA,NA,NA
"ASV_1571","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Keissleriella","s__taminensis"
"ASV_1572","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia",NA
"ASV_1573","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Efibula","s__americana"
"ASV_1574",NA,NA,NA,NA,NA,NA,NA
"ASV_1575","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Naviculales","f__Naviculaceae","g__Navicula",NA
"ASV_1576","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Sebacina","s__epigaea"
"ASV_1577","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1578","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Chaetomellaceae","g__Chaetomella",NA
"ASV_1579","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis",NA
"ASV_1580","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"ASV_1581","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis","s__variegata"
"ASV_1582",NA,NA,NA,NA,NA,NA,NA
"ASV_1583",NA,NA,NA,NA,NA,NA,NA
"ASV_1584",NA,NA,NA,NA,NA,NA,NA
"ASV_1585",NA,NA,NA,NA,NA,NA,NA
"ASV_1586",NA,NA,NA,NA,NA,NA,NA
"ASV_1587","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"ASV_1588","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Coniothyriaceae","g__Coniothyrium",NA
"ASV_1589",NA,NA,NA,NA,NA,NA,NA
"ASV_1590","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Calycina",NA
"ASV_1591",NA,NA,NA,NA,NA,NA,NA
"ASV_1592","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Didymocyrtis","s__pini"
"ASV_1593",NA,NA,NA,NA,NA,NA,NA
"ASV_1594","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"ASV_1595","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium","s__marchalianum"
"ASV_1596",NA,NA,NA,NA,NA,NA,NA
"ASV_1597",NA,NA,NA,NA,NA,NA,NA
"ASV_1598","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Sebacina","s__epigaea"
"ASV_1599","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Cunninghamellaceae","g__Absidia","s__glauca"
"ASV_1600","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Kondoaceae","g__Kondoa","s__yuccicola"
"ASV_1601",NA,NA,NA,NA,NA,NA,NA
"ASV_1602","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV_1603",NA,NA,NA,NA,NA,NA,NA
"ASV_1604",NA,NA,NA,NA,NA,NA,NA
"ASV_1605","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Leohumicola","s__minima"
"ASV_1606",NA,NA,NA,NA,NA,NA,NA
"ASV_1607","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Magnaporthales","f__Magnaporthaceae","g__Arxiella",NA
"ASV_1608","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Psathyrella","s__panaeoloides"
"ASV_1609",NA,NA,NA,NA,NA,NA,NA
"ASV_1610",NA,NA,NA,NA,NA,NA,NA
"ASV_1611","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1612","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__ledniceana"
"ASV_1613","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturia",NA
"ASV_1614","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Genolevuria","s__amylolytica"
"ASV_1615","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Phaeotremellaceae","g__Phaeotremellaceae_gen_Incertae_sedis",NA
"ASV_1616",NA,NA,NA,NA,NA,NA,NA
"ASV_1617",NA,NA,NA,NA,NA,NA,NA
"ASV_1618",NA,NA,NA,NA,NA,NA,NA
"ASV_1619","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae",NA,NA
"ASV_1620","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis","s__pseudonivea"
"ASV_1621","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Beauveria","s__pseudobassiana"
"ASV_1622",NA,NA,NA,NA,NA,NA,NA
"ASV_1623",NA,NA,NA,NA,NA,NA,NA
"ASV_1624",NA,NA,NA,NA,NA,NA,NA
"ASV_1625","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Vandijckellaceae","g__Vandijckella","s__johannae"
"ASV_1626",NA,NA,NA,NA,NA,NA,NA
"ASV_1627",NA,NA,NA,NA,NA,NA,NA
"ASV_1628","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Gelatinodiscaceae","g__Neobulgaria","s__koningiana"
"ASV_1629",NA,NA,NA,NA,NA,NA,NA
"ASV_1630","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Lipomycetaceae","g__Lipomyces","s__tetrasporus"
"ASV_1631",NA,NA,NA,NA,NA,NA,NA
"ASV_1632",NA,NA,NA,NA,NA,NA,NA
"ASV_1633",NA,NA,NA,NA,NA,NA,NA
"ASV_1634","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Linnemannia",NA
"ASV_1635",NA,NA,NA,NA,NA,NA,NA
"ASV_1636",NA,NA,NA,NA,NA,NA,NA
"ASV_1637","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Microstromatales","f__Microstromataceae","g__Microstroma","s__bacarum"
"ASV_1638","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Piskurozyma",NA
"ASV_1639","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae",NA,NA
"ASV_1640",NA,NA,NA,NA,NA,NA,NA
"ASV_1641",NA,NA,NA,NA,NA,NA,NA
"ASV_1642","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema","s__perniciosa"
"ASV_1643","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA
"ASV_1644","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe","s__goulteri"
"ASV_1645","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__paludigena"
"ASV_1646",NA,NA,NA,NA,NA,NA,NA
"ASV_1647",NA,NA,NA,NA,NA,NA,NA
"ASV_1648","k__Stramenopila","p__Ochrophyta","c__Eustigmatophyceae","o__Eustigmatales","f__Eustigmataceae",NA,NA
"ASV_1649","k__Fungi","p__Ascomycota","c__Laboulbeniomycetes","o__Laboulbeniomycetes_ord_Incertae_sedis","f__Laboulbeniomycetes_fam_Incertae_sedis","g__Laboulbeniomycetes_gen_Incertae_sedis",NA
"ASV_1650","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria","s__muralis"
"ASV_1651","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"ASV_1652",NA,NA,NA,NA,NA,NA,NA
"ASV_1653","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Calyptella","s__gibbosa"
"ASV_1654","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Didymocyrtis","s__pini"
"ASV_1655",NA,NA,NA,NA,NA,NA,NA
"ASV_1656",NA,NA,NA,NA,NA,NA,NA
"ASV_1657","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Sporormiella","s__similis"
"ASV_1658",NA,NA,NA,NA,NA,NA,NA
"ASV_1659","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema",NA
"ASV_1660","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA
"ASV_1661","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Psathyrella","s__stercoraria"
"ASV_1662",NA,NA,NA,NA,NA,NA,NA
"ASV_1663",NA,NA,NA,NA,NA,NA,NA
"ASV_1664",NA,NA,NA,NA,NA,NA,NA
"ASV_1665",NA,NA,NA,NA,NA,NA,NA
"ASV_1666",NA,NA,NA,NA,NA,NA,NA
"ASV_1667",NA,NA,NA,NA,NA,NA,NA
"ASV_1668","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Endocarpon","s__neopallidulum"
"ASV_1669","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_1670",NA,NA,NA,NA,NA,NA,NA
"ASV_1671","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora",NA
"ASV_1672",NA,NA,NA,NA,NA,NA,NA
"ASV_1673","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV_1674",NA,NA,NA,NA,NA,NA,NA
"ASV_1675",NA,NA,NA,NA,NA,NA,NA
"ASV_1676","k__Stramenopila","p__Oomycota","c__Oomycetes","o__Pythiales",NA,NA,NA
"ASV_1677","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Parafenestella","s__salicis"
"ASV_1678","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Acrocalymmaceae","g__Acrocalymma","s__vagum"
"ASV_1679",NA,NA,NA,NA,NA,NA,NA
"ASV_1680","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_1681","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Scytalidium","s__sphaerosporum"
"ASV_1682","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeoseptaceae","g__Phaeoseptum","s__mali"
"ASV_1683","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__maculata"
"ASV_1684","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae",NA,NA
"ASV_1685","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Articulospora",NA
"ASV_1686","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Melanophoma",NA
"ASV_1687",NA,NA,NA,NA,NA,NA,NA
"ASV_1688",NA,NA,NA,NA,NA,NA,NA
"ASV_1689",NA,NA,NA,NA,NA,NA,NA
"ASV_1690",NA,NA,NA,NA,NA,NA,NA
"ASV_1691","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__globosa"
"ASV_1692",NA,NA,NA,NA,NA,NA,NA
"ASV_1693","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Crepidotaceae","g__Crepidotus",NA
"ASV_1694","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Ochroconis",NA
"ASV_1695","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella",NA
"ASV_1696","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Dothiorella","s__sempervirentis"
"ASV_1697",NA,NA,NA,NA,NA,NA,NA
"ASV_1698",NA,NA,NA,NA,NA,NA,NA
"ASV_1699","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Keissleriella","s__quadriseptata"
"ASV_1700","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Knufia",NA
"ASV_1701",NA,NA,NA,NA,NA,NA,NA
"ASV_1702","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae",NA,NA
"ASV_1703",NA,NA,NA,NA,NA,NA,NA
"ASV_1704","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Sebacina",NA
"ASV_1705",NA,NA,NA,NA,NA,NA,NA
"ASV_1706",NA,NA,NA,NA,NA,NA,NA
"ASV_1707","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__chlamydocopiosa"
"ASV_1708",NA,NA,NA,NA,NA,NA,NA
"ASV_1709","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","s__persicinum"
"ASV_1710",NA,NA,NA,NA,NA,NA,NA
"ASV_1711","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","g__Papulaspora","s__byssina"
"ASV_1712","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricales_fam_Incertae_sedis","g__Granulobasidium","s__vellereum"
"ASV_1713","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"ASV_1714","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophoraceae_gen_Incertae_sedis",NA
"ASV_1715",NA,NA,NA,NA,NA,NA,NA
"ASV_1716","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_1717","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Mollisiaceae","g__Variocladium",NA
"ASV_1718","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Pycnoporus",NA
"ASV_1719","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae",NA,NA
"ASV_1720",NA,NA,NA,NA,NA,NA,NA
"ASV_1721","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","g__Papulaspora","s__byssina"
"ASV_1722",NA,NA,NA,NA,NA,NA,NA
"ASV_1723","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Naviculales","f__Naviculaceae","g__Navicula",NA
"ASV_1724",NA,NA,NA,NA,NA,NA,NA
"ASV_1725","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Phlebia","s__acanthocystis"
"ASV_1726",NA,NA,NA,NA,NA,NA,NA
"ASV_1727",NA,NA,NA,NA,NA,NA,NA
"ASV_1728","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria","s__tallbackaensis"
"ASV_1729","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma",NA
"ASV_1730",NA,NA,NA,NA,NA,NA,NA
"ASV_1731",NA,NA,NA,NA,NA,NA,NA
"ASV_1732",NA,NA,NA,NA,NA,NA,NA
"ASV_1733",NA,NA,NA,NA,NA,NA,NA
"ASV_1734","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV_1735",NA,NA,NA,NA,NA,NA,NA
"ASV_1736","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeodothis",NA
"ASV_1737","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_1738","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"ASV_1739",NA,NA,NA,NA,NA,NA,NA
"ASV_1740",NA,NA,NA,NA,NA,NA,NA
"ASV_1741","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","g__Ascobolaceae_gen_Incertae_sedis",NA
"ASV_1742",NA,NA,NA,NA,NA,NA,NA
"ASV_1743",NA,NA,NA,NA,NA,NA,NA
"ASV_1744","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Phanerodontia","s__chrysosporium"
"ASV_1745","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Erythrobasidium","s__hasegawae"
"ASV_1746","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"ASV_1747",NA,NA,NA,NA,NA,NA,NA
"ASV_1748","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Sebacina","s__epigaea"
"ASV_1749",NA,NA,NA,NA,NA,NA,NA
"ASV_1750",NA,NA,NA,NA,NA,NA,NA
"ASV_1751","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_1752","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Lepista",NA
"ASV_1753",NA,NA,NA,NA,NA,NA,NA
"ASV_1754","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"ASV_1755",NA,NA,NA,NA,NA,NA,NA
"ASV_1756",NA,NA,NA,NA,NA,NA,NA
"ASV_1757","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum",NA
"ASV_1758",NA,NA,NA,NA,NA,NA,NA
"ASV_1759",NA,NA,NA,NA,NA,NA,NA
"ASV_1760","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Jeremyomyces","s__labinae"
"ASV_1761","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Bulleribasidium","s__oberjochense"
"ASV_1762",NA,NA,NA,NA,NA,NA,NA
"ASV_1763",NA,NA,NA,NA,NA,NA,NA
"ASV_1764",NA,NA,NA,NA,NA,NA,NA
"ASV_1765",NA,NA,NA,NA,NA,NA,NA
"ASV_1766",NA,NA,NA,NA,NA,NA,NA
"ASV_1767",NA,NA,NA,NA,NA,NA,NA
"ASV_1768",NA,NA,NA,NA,NA,NA,NA
"ASV_1769",NA,NA,NA,NA,NA,NA,NA
"ASV_1770","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema",NA
"ASV_1771","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Chaetomellaceae","g__Pilidium",NA
"ASV_1772","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia",NA
"ASV_1773","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__indica"
"ASV_1774",NA,NA,NA,NA,NA,NA,NA
"ASV_1775","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Morinia","s__crini"
"ASV_1776","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Libertasomycetaceae","g__Libertasomyces",NA
"ASV_1777",NA,NA,NA,NA,NA,NA,NA
"ASV_1778",NA,NA,NA,NA,NA,NA,NA
