"","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1838","ASV_1838","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"1839","ASV_1839",NA,NA,NA,NA,NA,NA,NA
"1840","ASV_1840",NA,NA,NA,NA,NA,NA,NA
"1841","ASV_1841",NA,NA,NA,NA,NA,NA,NA
"1842","ASV_1842","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria",NA
"1843","ASV_1843","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria","s__quercina"
"1844","ASV_1844","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Pseudosigmoidea",NA
"1845","ASV_1845","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Massarinaceae","g__Pseudodidymosphaeria","s__phlei"
"1846","ASV_1846","k__Fungi","p__Basidiomycota","c__Basidiomycota_cls_Incertae_sedis","o__Basidiomycota_ord_Incertae_sedis","f__Basidiomycota_fam_Incertae_sedis","g__Basidiomycota_gen_Incertae_sedis",NA
"1847","ASV_1847",NA,NA,NA,NA,NA,NA,NA
"1848","ASV_1848",NA,NA,NA,NA,NA,NA,NA
"1849","ASV_1849","k__Fungi",NA,NA,NA,NA,NA,NA
"1850","ASV_1850","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__persica"
"1851","ASV_1851","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella",NA
"1852","ASV_1852","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","g__Gymnopus","s__dryophilus"
"1853","ASV_1853","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA
"1854","ASV_1854",NA,NA,NA,NA,NA,NA,NA
"1855","ASV_1855","k__Protista","p__Bacillariophyta","c__Bacillariophyta_cls_Incertae_sedis","o__Bacillariophyta_ord_Incertae_sedis","f__Bacillariophyta_fam_Incertae_sedis","g__Bacillariophyta_gen_Incertae_sedis",NA
"1856","ASV_1856","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Apiosporaceae","g__Apiospora","s__malaysiana"
"1857","ASV_1857","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Montagnula","s__opulenta"
"1858","ASV_1858","k__Fungi","p__Blastocladiomycota","c__Blastocladiomycetes","o__Blastocladiales","f__Blastocladiales_fam_Incertae_sedis","g__Blastocladiales_gen_Incertae_sedis",NA
"1859","ASV_1859","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Mycoarthris",NA
"1860","ASV_1860","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__arxii"
"1861","ASV_1861",NA,NA,NA,NA,NA,NA,NA
"1862","ASV_1862",NA,NA,NA,NA,NA,NA,NA
"1863","ASV_1863","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Linnemannia","s__amoeboidea"
"1864","ASV_1864","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Pezizella",NA
"1865","ASV_1865",NA,NA,NA,NA,NA,NA,NA
"1866","ASV_1866","k__Fungi","p__Blastocladiomycota","c__Blastocladiomycota_cls_Incertae_sedis","o__Blastocladiomycota_ord_Incertae_sedis","f__Blastocladiomycota_fam_Incertae_sedis","g__Blastocladiomycota_gen_Incertae_sedis",NA
"1867","ASV_1867","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae",NA,NA
"1868","ASV_1868","k__Fungi","p__Chytridiomycota","c__GS13","o__GS13_ord_Incertae_sedis","f__GS13_fam_Incertae_sedis","g__GS13_gen_Incertae_sedis",NA
"1869","ASV_1869","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","s__lixii"
"1870","ASV_1870","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Xylodon","s__sambuci"
"1871","ASV_1871","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium",NA
"1872","ASV_1872",NA,NA,NA,NA,NA,NA,NA
"1873","ASV_1873","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Peltigerales","f__Pannariaceae","g__Pectenia",NA
"1874","ASV_1874","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita",NA
"1875","ASV_1875",NA,NA,NA,NA,NA,NA,NA
"1876","ASV_1876",NA,NA,NA,NA,NA,NA,NA
"1877","ASV_1877","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae","g__Monilinia",NA
"1878","ASV_1878",NA,NA,NA,NA,NA,NA,NA
"1879","ASV_1879","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"1880","ASV_1880","k__Fungi",NA,NA,NA,NA,NA,NA
"1881","ASV_1881","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Emericellopsis","s__humicola"
"1882","ASV_1882","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Bipolaris",NA
"1883","ASV_1883",NA,NA,NA,NA,NA,NA,NA
"1884","ASV_1884",NA,NA,NA,NA,NA,NA,NA
"1885","ASV_1885",NA,NA,NA,NA,NA,NA,NA
"1886","ASV_1886","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Chaetomellaceae","g__Pilidium",NA
"1887","ASV_1887","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Dactylella","s__ramosa"
"1888","ASV_1888",NA,NA,NA,NA,NA,NA,NA
"1889","ASV_1889","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__confluens"
"1890","ASV_1890","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis","s__variegata"
"1891","ASV_1891",NA,NA,NA,NA,NA,NA,NA
"1892","ASV_1892","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Strophariaceae_gen_Incertae_sedis",NA
"1893","ASV_1893","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraconiothyrium","s__fuckelii"
"1894","ASV_1894","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Scutellinia","s__patagonica"
"1895","ASV_1895",NA,NA,NA,NA,NA,NA,NA
"1896","ASV_1896","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Wojnowiciella",NA
"1897","ASV_1897",NA,NA,NA,NA,NA,NA,NA
"1898","ASV_1898","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria",NA
"1899","ASV_1899","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Cystoagaricus","s__hirtosquamulosus"
"1900","ASV_1900",NA,NA,NA,NA,NA,NA,NA
"1901","ASV_1901","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"1902","ASV_1902","k__Fungi","p__Ascomycota","c__Candelariomycetes","o__Candelariales","f__Candelariaceae","g__Candelaria","s__concolor"
"1903","ASV_1903","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Knufia","s__tsunedae"
"1904","ASV_1904","k__Fungi",NA,NA,NA,NA,NA,NA
"1905","ASV_1905","k__Fungi",NA,NA,NA,NA,NA,NA
"1906","ASV_1906",NA,NA,NA,NA,NA,NA,NA
"1907","ASV_1907",NA,NA,NA,NA,NA,NA,NA
"1908","ASV_1908","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria",NA
"1909","ASV_1909","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cryptocoryneaceae","g__Cryptocoryneaceae_gen_Incertae_sedis",NA
"1910","ASV_1910","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Pholiota","s__tennesseensis"
"1911","ASV_1911",NA,NA,NA,NA,NA,NA,NA
"1912","ASV_1912",NA,NA,NA,NA,NA,NA,NA
"1913","ASV_1913","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","s__polysporum"
"1914","ASV_1914","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium","s__strictum"
"1915","ASV_1915",NA,NA,NA,NA,NA,NA,NA
"1916","ASV_1916","k__Stramenopila","p__Oomycota","c__Oomycetes","o__Pythiales","f__Pythiaceae","g__Pythium",NA
"1917","ASV_1917",NA,NA,NA,NA,NA,NA,NA
"1918","ASV_1918","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariales_fam_Incertae_sedis","g__Tremiscus",NA
"1919","ASV_1919","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paracamarosporium","s__fagi"
"1920","ASV_1920","k__Fungi","p__Basidiomycota","c__Agaricomycotina_cls_Incertae_sedis","o__Agaricomycotina_ord_Incertae_sedis","f__Agaricomycotina_fam_Incertae_sedis","g__Agaricomycotina_gen_Incertae_sedis",NA
"1921","ASV_1921",NA,NA,NA,NA,NA,NA,NA
"1922","ASV_1922","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Plenodomus","s__biglobosus"
"1923","ASV_1923","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria","s__sporulosa"
"1924","ASV_1924","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"1925","ASV_1925","k__Fungi","p__Basidiomycota","c__Agaricomycotina_cls_Incertae_sedis","o__Agaricomycotina_ord_Incertae_sedis","f__Agaricomycotina_fam_Incertae_sedis","g__Agaricomycotina_gen_Incertae_sedis",NA
"1926","ASV_1926","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Hydnobolites",NA
"1927","ASV_1927",NA,NA,NA,NA,NA,NA,NA
"1928","ASV_1928",NA,NA,NA,NA,NA,NA,NA
"1929","ASV_1929","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__collo-cygni"
"1930","ASV_1930","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Endocarpon","s__superpositum"
"1931","ASV_1931",NA,NA,NA,NA,NA,NA,NA
"1932","ASV_1932","k__Fungi",NA,NA,NA,NA,NA,NA
"1933","ASV_1933","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma","s__guiyangensis"
"1934","ASV_1934","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Tricharina",NA
"1935","ASV_1935",NA,NA,NA,NA,NA,NA,NA
"1936","ASV_1936",NA,NA,NA,NA,NA,NA,NA
"1937","ASV_1937",NA,NA,NA,NA,NA,NA,NA
"1938","ASV_1938",NA,NA,NA,NA,NA,NA,NA
"1939","ASV_1939","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis",NA
"1940","ASV_1940","k__Stramenopila","p__Ochrophyta","c__Eustigmatophyceae","o__Eustigmatales","f__Eustigmataceae","g__Vischeria",NA
"1941","ASV_1941",NA,NA,NA,NA,NA,NA,NA
"1942","ASV_1942",NA,NA,NA,NA,NA,NA,NA
"1943","ASV_1943","k__Fungi",NA,NA,NA,NA,NA,NA
"1944","ASV_1944","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Heydenia",NA
"1945","ASV_1945","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Paramyrothecium","s__humicola"
"1946","ASV_1946","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiotremataceae","g__Atrocalyx","s__nordicus"
"1947","ASV_1947",NA,NA,NA,NA,NA,NA,NA
"1948","ASV_1948","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"1949","ASV_1949","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Tubeufiaceae","g__Neohelicomyces",NA
"1950","ASV_1950","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Phallales","f__Gastrosporiaceae","g__Gastrosporium","s__gossypinum"
"1951","ASV_1951",NA,NA,NA,NA,NA,NA,NA
"1952","ASV_1952","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Pseudosigmoidea",NA
"1953","ASV_1953","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Septomyrothecium",NA
"1954","ASV_1954","k__Fungi",NA,NA,NA,NA,NA,NA
"1955","ASV_1955","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeodothis",NA
"1956","ASV_1956","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma","s__obsoletum"
"1957","ASV_1957","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Massarinaceae","g__Stagonospora","s__bicolor"
"1958","ASV_1958",NA,NA,NA,NA,NA,NA,NA
"1959","ASV_1959","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Nigrogranaceae","g__Nigrograna","s__aquatica"
"1960","ASV_1960","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"1961","ASV_1961","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariaceae","g__Neurospora",NA
"1962","ASV_1962",NA,NA,NA,NA,NA,NA,NA
"1963","ASV_1963","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariales_fam_Incertae_sedis","g__Fusidium",NA
"1964","ASV_1964",NA,NA,NA,NA,NA,NA,NA
"1965","ASV_1965","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Thelebolaceae","g__Thelebolus",NA
"1966","ASV_1966","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma",NA
"1967","ASV_1967","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Stictidaceae","g__Cyanodermella","s__oleoligni"
"1968","ASV_1968","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Sebacinaceae","g__Sebacina",NA
"1969","ASV_1969",NA,NA,NA,NA,NA,NA,NA
"1970","ASV_1970","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Eunotiales","f__Eunotiaceae","g__Eunotia","s__bilunaris"
"1971","ASV_1971","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amniculicolaceae","g__Amniculicola","s__parva"
"1972","ASV_1972",NA,NA,NA,NA,NA,NA,NA
"1973","ASV_1973",NA,NA,NA,NA,NA,NA,NA
"1974","ASV_1974",NA,NA,NA,NA,NA,NA,NA
"1975","ASV_1975",NA,NA,NA,NA,NA,NA,NA
"1976","ASV_1976","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Stomiopeltis","s__syzygii"
"1977","ASV_1977","k__Stramenopila","p__Ochrophyta","c__Bacillariophyceae","o__Naviculales","f__Naviculaceae","g__Navicula","s__cryptocephala"
"1978","ASV_1978","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Erythrobasidium",NA
"1979","ASV_1979",NA,NA,NA,NA,NA,NA,NA
"1980","ASV_1980","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Trichopeziza","s__mollissima"
"1981","ASV_1981","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__whitfieldii"
"1982","ASV_1982",NA,NA,NA,NA,NA,NA,NA
"1983","ASV_1983","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipitaceae_gen_Incertae_sedis",NA
"1984","ASV_1984","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Homophron","s__spadiceum"
"1985","ASV_1985","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"1986","ASV_1986","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Agaricus","s__bisporus"
"1987","ASV_1987","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Hyalorbilia",NA
"1988","ASV_1988","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae",NA,NA
"1989","ASV_1989",NA,NA,NA,NA,NA,NA,NA
"1990","ASV_1990",NA,NA,NA,NA,NA,NA,NA
"1991","ASV_1991","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales","f__Serendipitaceae","g__Serendipita","s__australiana"
"1992","ASV_1992","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Crepidotaceae","g__Crepidotus","s__malachioides"
"1993","ASV_1993","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum","s__gorgonicum"
"1994","ASV_1994",NA,NA,NA,NA,NA,NA,NA
"1995","ASV_1995",NA,NA,NA,NA,NA,NA,NA
"1996","ASV_1996","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Discosiaceae","g__Discosia",NA
"1997","ASV_1997","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"1998","ASV_1998",NA,NA,NA,NA,NA,NA,NA
"1999","ASV_1999","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inosperma","s__acutofulvum"
"2000","ASV_2000","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Piskurozyma","s__silvicola"
"2001","ASV_2001",NA,NA,NA,NA,NA,NA,NA
"2002","ASV_2002",NA,NA,NA,NA,NA,NA,NA
"2003","ASV_2003","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Passalora","s__fusimaculans"
"2004","ASV_2004","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA
"2005","ASV_2005",NA,NA,NA,NA,NA,NA,NA
"2006","ASV_2006","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA
"2007","ASV_2007","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Bullera","s__alba"
"2008","ASV_2008","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__elongatula"
"2009","ASV_2009",NA,NA,NA,NA,NA,NA,NA
"2010","ASV_2010","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Cistella",NA
"2011","ASV_2011",NA,NA,NA,NA,NA,NA,NA
"2012","ASV_2012","k__Fungi",NA,NA,NA,NA,NA,NA
"2013","ASV_2013","k__Fungi",NA,NA,NA,NA,NA,NA
"2014","ASV_2014","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"2015","ASV_2015",NA,NA,NA,NA,NA,NA,NA
"2016","ASV_2016",NA,NA,NA,NA,NA,NA,NA
"2017","ASV_2017",NA,NA,NA,NA,NA,NA,NA
"2018","ASV_2018",NA,NA,NA,NA,NA,NA,NA
"2019","ASV_2019",NA,NA,NA,NA,NA,NA,NA
"2020","ASV_2020","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma","s__dioscoreae"
"2021","ASV_2021","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Rutstroemiaceae","g__Rutstroemia",NA
"2022","ASV_2022","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Physciaceae","g__Phaeophyscia","s__adiastola"
"2023","ASV_2023",NA,NA,NA,NA,NA,NA,NA
"2024","ASV_2024",NA,NA,NA,NA,NA,NA,NA
"2025","ASV_2025","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dictyosporiaceae","g__Pseudocoleophoma",NA
"2026","ASV_2026","k__Fungi",NA,NA,NA,NA,NA,NA
"2027","ASV_2027",NA,NA,NA,NA,NA,NA,NA
"2028","ASV_2028","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Hendersonia","s__sabaleos"
"2029","ASV_2029","k__Fungi",NA,NA,NA,NA,NA,NA
"2030","ASV_2030",NA,NA,NA,NA,NA,NA,NA
"2031","ASV_2031","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Paramycosphaerella","s__intermedia"
"2032","ASV_2032","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Cucurbitariaceae_gen_Incertae_sedis",NA
"2033","ASV_2033",NA,NA,NA,NA,NA,NA,NA
"2034","ASV_2034",NA,NA,NA,NA,NA,NA,NA
"2035","ASV_2035",NA,NA,NA,NA,NA,NA,NA
"2036","ASV_2036",NA,NA,NA,NA,NA,NA,NA
"2037","ASV_2037","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Cystoagaricus",NA
"2038","ASV_2038","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"2039","ASV_2039",NA,NA,NA,NA,NA,NA,NA
"2040","ASV_2040","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"2041","ASV_2041","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Tricellula",NA
"2042","ASV_2042",NA,NA,NA,NA,NA,NA,NA
"2043","ASV_2043",NA,NA,NA,NA,NA,NA,NA
"2044","ASV_2044","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Pseudosperma",NA
"2045","ASV_2045","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora","s__limitata"
"2046","ASV_2046","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Tricellula",NA
"2047","ASV_2047",NA,NA,NA,NA,NA,NA,NA
"2048","ASV_2048",NA,NA,NA,NA,NA,NA,NA
"2049","ASV_2049","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia","s__pseudoprotuberata"
"2050","ASV_2050",NA,NA,NA,NA,NA,NA,NA
"2051","ASV_2051",NA,NA,NA,NA,NA,NA,NA
"2052","ASV_2052","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__brevisetulosus"
"2053","ASV_2053",NA,NA,NA,NA,NA,NA,NA
"2054","ASV_2054","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium",NA
"2055","ASV_2055","k__Fungi",NA,NA,NA,NA,NA,NA
"2056","ASV_2056",NA,NA,NA,NA,NA,NA,NA
"2057","ASV_2057","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium","s__furcatum"
"2058","ASV_2058","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Mollisina",NA
"2059","ASV_2059","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kluyveromyces","s__lactis"
"2060","ASV_2060","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Talaromyces",NA
"2061","ASV_2061",NA,NA,NA,NA,NA,NA,NA
"2062","ASV_2062","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Neonectria","s__candida"
"2063","ASV_2063","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"2064","ASV_2064",NA,NA,NA,NA,NA,NA,NA
"2065","ASV_2065","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__eurysporus"
"2066","ASV_2066",NA,NA,NA,NA,NA,NA,NA
"2067","ASV_2067",NA,NA,NA,NA,NA,NA,NA
"2068","ASV_2068","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__bryophila"
"2069","ASV_2069","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Cistella",NA
"2070","ASV_2070","k__Fungi","p__Basidiomycota","c__Agaricomycotina_cls_Incertae_sedis","o__Agaricomycotina_ord_Incertae_sedis","f__Agaricomycotina_fam_Incertae_sedis","g__Agaricomycotina_gen_Incertae_sedis",NA
"2071","ASV_2071","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Ascobolaceae","g__Ascobolaceae_gen_Incertae_sedis",NA
"2072","ASV_2072",NA,NA,NA,NA,NA,NA,NA
"2073","ASV_2073","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus",NA
"2074","ASV_2074","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium",NA
"2075","ASV_2075",NA,NA,NA,NA,NA,NA,NA
"2076","ASV_2076",NA,NA,NA,NA,NA,NA,NA
