"","01m01_B","01m01_L","01m01_S","01m02_B","01m02_L","01m02_S","01m03_B","01m03_L","01m03_S","01m04_B","01m04_L","01m04_S","01m05_B","01m05_L","01m05_S","01m06_B","01m06_L","01m06_S","02m01_B","02m01_L","02m01_S","02m02_B","02m02_L","02m02_S","02m03_B","02m03_L","02m03_S","02m04_L","02m04_S","02m05_B","02m05_L","02m06_B","02m06_L","02m06_S","02m07_B","02m07_L","02m07_S","02m08_L","02m08_S","02m09_B","02m09_L","02m09_S","02m10_B","02m10_L","02m10_S","02m11_B","02m11_S","04m01_B","04m01_L","04m01_S","04m02_B","04m02_L","04m02_S","04m03_B","04m03_L","04m03_S","04m04_B","04m04_L","04m04_S","04m05_B","04m05_L","04m05_S","04m06_B","04m06_L","04m06_S","04m07_L","04m07_S","04m08_L","04m08_S","04m09_B","04m09_L","04m09_S","04m10_B","04m10_L","04m10_S","04m11_B","04m11_L","04m11_S","04m12_B","04m12_L","04m12_S","04m13_B","04m13_L","04m13_S","04t01_B","04t01_L","04t01_S","04t02_B","04t02_L","04t02_S","04w01_B","04w01_L","04w01_S","04w02_B","04w02_L","04w02_S","04w03_B","04w03_L","04w03_S","04w04_L","04w04_S","20m01_L","20m01_S","20m02_B","20m02_L","20m02_S","20m03_B","20m03_L","20m03_S","20m04_B","20m04_L","20m04_S","20m05_B","20m05_L","20m05_S","sfm01_B","sfm01_L","sfm01_S","sfm02_B","sfm02_L","sfm02_S","sfm03_B","sfm03_L","sfm03_S","sfm04_B","sfm04_L","sfm04_S","sfm05_B","sfm05_L","sfm05_S","sfm06_B","sfm06_L","sfm06_S","sfm07_B","sfm07_L","sfm07_S","Sft01_B","Sft01_L","Sft01_S","Sft02_B","Sft02_L","Sft02_S"
"f__Trematosphaeriaceae",0,2,14,15,0,0,14,0,4,0,0,5,9,10,1,0,1,13,0,12,15,0,6,24,0,3,18,5,28,5,0,2,0,9,12,0,414,0,1,54,5,13,0,0,227,267,1,51,5,18,3,11,62,48,6,22,2,0,0,2,29,18,0,0,0,0,0,10,0,0,1,7,70,0,86,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,25,0,6,21,0,0,0,0,0,0,1,2,0,32,0,2,0,1,11,0,0,1,5,0,5,0,12,0,37,0,3,0,0,0,14,26,15,0,0,0,2,16,8,4,56,115,89,0,4,5
"f__Discinellaceae",0,73,0,7,52,0,0,7,0,0,0,9,0,66,0,0,0,0,0,21,0,0,3,0,0,0,0,6,1,0,14,0,0,0,0,32,25,254,0,0,0,0,0,16,27,0,0,0,0,0,3,3,0,0,37,129,0,14,0,0,33,0,0,0,1,2,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,49,6,3,36,0,0,0,0,0,3,0,2,1160,0,0,0,0
"f__Gastrosporiaceae",0,0,9,7,0,0,0,0,32,0,6,0,0,0,26,0,6,57,0,59,58,135,80,0,0,12,39,1,0,3,17,5,0,0,13,26,70,14,0,797,6,0,0,0,32,353,31,4,10,0,0,12,0,92,15,31,24,359,0,23,521,28,249,13,26,5,5,9,0,0,0,0,0,0,0,63,0,15,0,0,39,19,0,30,0,1,28,0,45,1,0,0,199,0,31,71,0,0,73,3,0,3,83,0,0,0,0,0,22,1,0,0,0,0,49,0,10,12,7,3,73,0,11,0,0,3,0,10,0,0,0,0,105,11,5,68,81,0,24,11,1,30
"f__Niessliaceae",0,10,0,7,0,0,0,313,0,0,0,0,0,1332,7,0,22,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,96,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"f__Massariaceae",0,0,0,47,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,769,0,0,211,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"f__Melanommataceae",0,30,0,0,10,0,20,0,30,0,0,62,0,155,35,0,0,10,0,0,6,8,7,6,40,0,0,1281,0,0,0,1,1,7,0,49,7,8,0,0,0,0,0,0,10,0,11,0,140,1,2,247,0,0,0,21,2,2,0,3,274,0,0,170,28,0,5,48,3,0,3,0,52,2,10,0,0,19,0,0,8,0,0,13,5,2,5,4,0,0,0,71,18,0,32,5,0,0,7,15,0,132,10,13,10,19,1,282,14,0,133,193,0,296,5,0,85,0,2,77,6,0,577,0,83,3,3,0,14,26,0,135,58,1,6,4,6,79,3,3,0,6
"f__Periconiaceae",4,0,17,14,21,0,20,16,81,0,10,55,0,113,77,0,7,119,11,35,0,0,24,8,0,3,29,21,33,3,0,47,9,117,14,29,20,4,3,0,0,0,0,0,133,84,55,54,23,73,48,0,49,62,0,94,0,9,0,0,0,14,0,4,97,0,3,11,0,0,3,7,25,0,27,192,0,152,0,1,21,0,4,45,1,4,36,1,6,52,0,0,248,0,11,244,0,0,135,13,43,0,44,0,0,29,0,0,26,59,7,110,0,11,13,13,25,18,2,4,66,10,3,0,0,3,73,10,17,0,0,5,42,11,14,24,47,4,91,9,0,127
"f__Lycoperdaceae",22,0,129,12,6,83,31,11,257,0,12,261,62,17,32,0,17,138,0,14,7,4,7,100,8,17,67,5,0,2,18,25,5,55,0,11,156,0,19,0,2,0,0,4,96,0,87,59,15,109,40,17,202,66,2,112,12,2,0,0,17,36,0,2,76,5,1,1,8,0,9,20,50,0,315,0,3,123,0,0,289,0,5,368,10,1,115,69,2,45,50,0,130,0,17,236,0,0,93,43,0,6,1562,0,0,106,0,2,325,0,9,358,0,0,139,40,37,50,3,0,213,0,0,0,0,22,208,21,40,348,0,85,160,27,39,78,96,6,169,20,1,76
"f__Basidiomycota_fam_Incertae_sedis",31,0,12,8,0,1,0,23,216,164,0,6,14,13,131,0,3,337,0,0,0,0,0,148,9,0,185,0,458,1,0,21,0,138,0,0,91,6,228,0,0,0,0,0,121,0,128,3,0,212,0,10,193,0,0,223,18,7,0,3,0,43,0,0,191,4,89,4,0,0,8,15,0,0,77,0,0,176,0,0,85,0,0,342,9,0,315,25,0,24,17,0,34,0,10,128,0,0,451,0,12,0,185,0,0,104,0,0,232,0,0,397,0,0,100,1,2,111,0,0,129,60,0,0,0,14,52,0,5,2077,0,0,161,2,0,142,155,0,493,7,0,50
"f__Aphelidiomycota_fam_Incertae_sedis",628,24,0,28,0,0,17,25,3,1,0,243,196,0,0,46,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,5,0,17,0,0,7,0,0,0,0,0,0,0,4,0,0,5,0,8,46,0,51,0,0,6,15,15,0,11,0,0,0,0,0,0,0,32,15,39,5,0,0,0,11,0,2,39,0,4,8,22,0,359,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,1,3,0,2,0,0,69,4,5,93,4,19,4,11,0,8,1,39,178,129,48,9,4,2,124,3,0,0,0,0,0,0,0
"f__Serendipitaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,0,0,180,0,0,0,0,10,175,0,0,31,0,62,2,0,0,0,5,0,0,21,0,0,0,0,515,29,2,13,0,19,0,39,3,0,0,0,0,0,135,1,3,0,0,13,16,0,0,12,5,0,3,0,0,4,4,49,0,4,0,0,0,0,0,0,0,293,25,0,2,25,0,0,7,0,0,24,0,9,25,0,0,0,9,0,0,17,1,0,33,0,0,6,0,61,23,5,25,4,0,42,4,0,18,8,5,0,0,0,152,0,3,8,0,0,0,0,0,37,0,2,38,25,0,106,23
"f__Bionectriaceae",0,5,13,7,0,0,25,6,0,14,29,9,8,0,6,24,3,7,0,37,0,0,8,5,0,7,0,10,19,7,16,78,20,67,25,13,66,13,0,0,0,0,0,0,2,0,0,0,24,68,6,46,26,0,0,8,28,9,0,7,0,0,0,12,10,0,8,1,0,0,1,17,0,0,23,0,0,14,0,1,3,0,0,9,0,35,0,10,21,5,0,0,13,0,9,40,0,0,51,1,20,9,26,0,0,0,48,23,58,0,17,55,0,10,9,32,25,9,0,0,38,0,0,0,0,5,63,33,0,3,0,20,64,24,34,25,36,20,6,23,29,15
"f__Pseudeurotiaceae",1,0,42,0,0,0,3,0,6,0,36,14,0,12,5,0,3,23,0,5,0,0,2,43,0,11,25,0,18,0,3,19,0,17,9,0,38,9,0,0,248,0,0,0,20,0,76,0,11,13,0,13,9,0,0,20,3,0,0,3,22,81,0,0,3,43,0,0,14,0,0,0,0,8,26,0,0,42,0,0,7,2,0,55,0,1,11,4,0,6,0,13,13,0,7,26,0,0,45,25,60,20,74,0,0,9,0,1,26,0,0,587,0,0,3,20,1,16,0,0,14,0,1,42,0,28,14,5,9,27,0,0,10,0,7,44,128,52,47,0,2,55
"f__Phaeotremellaceae",0,18,0,0,11,0,0,46,0,0,0,0,0,7,0,0,0,0,0,124,0,0,2,0,0,0,0,2,0,0,94,0,40,0,0,724,0,1052,0,0,0,0,0,14,0,0,0,0,0,0,0,8,0,0,7,0,0,30,0,0,245,0,0,110,0,165,0,43,0,0,0,0,0,0,0,0,0,0,0,27,0,0,12,0,0,0,0,0,1,0,0,842,0,0,0,1,0,0,0,0,0,19,0,0,5,0,5,87,0,0,2,0,0,60,0,0,396,0,0,7,0,0,495,0,0,77,1,0,33,0,0,6,0,0,8,0,0,61,0,0,0,0
"f__Geastraceae",0,0,0,0,0,0,0,0,18,0,0,17,0,8,48,0,3,3,0,2,8,0,0,6,0,0,20,0,0,0,0,0,20,75,0,0,43,0,0,0,0,121,6,26,71,0,33,0,2,61,0,15,12,0,0,19,16,1,0,0,20,79,0,0,14,3,0,3,0,0,6,0,0,0,17,0,0,9,0,0,39,0,6,24,0,0,36,2,1,0,3,0,66,0,6,130,0,0,59,0,0,0,384,0,0,118,5,2,78,2,0,34,8,0,64,6,3,17,2,0,1276,0,5,0,0,34,0,0,0,0,0,5,62,4,13,99,14,11,27,0,4,20
"f__Extremaceae",0,39,0,0,7,0,0,74,0,0,10,0,0,137,0,0,8,0,0,7,0,0,0,0,10,21,0,43,3,0,20,0,8,11,5,315,2,144,4,0,0,4,22,44,3,37,4,121,0,3,0,0,0,0,0,0,2,0,0,0,16,0,0,2,0,17,0,10,7,0,0,0,77,0,0,0,0,0,0,46,0,0,30,0,0,142,0,0,4,1,0,0,29,0,0,4,0,1,0,38,0,23,0,0,0,0,0,118,0,0,38,0,0,6,0,0,3,0,2,36,0,0,3,0,0,70,5,5,109,0,0,103,0,4,18,0,28,10,0,0,182,0
"f__Hebelomataceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f__Meruliaceae",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,13,25,0,6,5,60,0,10,0,0,0,9,0,0,15,0,0,0,0,0,0,5,0,0,0,0,0,0,23,0,0,9,2,0,0,0,3,8,0,68,6,9,0,0,11,79,0,1,9,0,0,15,0,0,0,3,65,4,1,0,12,12,0,0,0,0,7,0,21,14,22,0,7,14,0,12,20,0,0,5,0,108,9,0,840,676,17,18,4,23,0,30,17,8,2,46,14,3,0,31,7,7,0,0,0,0,1,0,5,0,0,0,10,7,9,13,4,25,0,12,27,0,0
"f__Sympoventuriaceae",0,1,0,0,0,0,0,1041,0,0,4,0,0,52,0,0,26,0,0,10,18,0,24,28,0,0,0,2,42,0,26,27,0,21,2,10,74,35,0,0,0,0,0,16,26,0,15,0,1,34,17,0,40,0,1,83,15,5,0,0,4,0,0,5,41,49,0,2,0,0,2,0,0,0,0,0,0,5,0,16,0,0,190,0,0,116,0,4,0,0,0,0,0,0,0,40,0,0,0,3,0,12,104,0,0,0,0,0,0,0,137,12,0,0,0,0,0,183,0,0,37,0,1,0,0,125,0,5,9,0,0,5,9,2,5,102,23,23,34,0,166,28
"f__Pezizaceae",0,0,0,0,2,0,0,13,0,0,0,6,0,4,9,0,0,35,0,14,4,0,46,4,0,16,81,390,0,0,5,0,0,19,5,2,73,0,0,64,7,0,0,0,0,0,70,2,53,74,3,0,47,9,31,517,6,0,118,2,0,0,0,0,2,0,0,1,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,26,0,0,0,0,3,0,1,0,0,0,19,0,0,0,10,0,0,2,0,126,35,0,0,0,0,0,0,0,116,4,0,61,28,0,8,0,0,82,9,0,10,0,0,177,6,0,18,18,27,13,40,0,7,0
"f__Chaetomiaceae",2,1,21,1,0,4,12,5,83,13,0,167,11,6,200,0,0,209,0,5,17,0,6,71,0,0,710,4,9,0,0,14,4,81,1,0,107,0,0,0,0,15,0,0,202,0,104,6,14,33,1,9,702,0,0,171,5,1,0,1,8,69,0,0,0,0,1,4,18,0,0,0,0,0,46,0,2,233,0,0,712,0,0,87,0,0,81,11,7,21,2,0,197,8,5,182,0,0,270,0,65,4,99,0,0,0,0,0,70,0,1,295,0,0,30,6,3,43,5,0,233,0,0,45,48,2,38,3,5,96,5,12,66,6,1,107,43,15,252,7,4,96
"f__Lagenaceae",0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,0,400,81,267,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,6,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,1,0,0,0
"f__Bacillariophyceae_fam_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,16,32,0,56,46,1,2,442,129,0,187,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,152,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f__Hydnodontaceae",0,7,5,0,0,0,25,25,0,0,0,29,0,25,47,0,5,54,0,236,11,5,4,43,0,5,24,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,44,62,0,115,0,0,0,0,0,4,62,1,12,0,0,0,173,0,0,39,0,0,75,54,0,182,0,0,0,10,0,0,22,163,4,0,0,99,20,0,0,0,0,0,5,0,0,8,0,15,9,0,0,0,3,0,7,10,0,0,3,0,13,26,0,0,0,1,3,13,27,58,0,0,0,4,0,0,0,83,223,0,0,9,0,0,306,17,2,45,13,0,2,43,6,48,0
"f__Catenariaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"f__Tarzettaceae",0,0,24,0,0,107,0,0,14,0,0,3,16,0,35,0,0,30,0,0,0,0,6,21,0,0,0,1,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,55,0,37,0,2,21,0,0,0,0,0,11,8,0,0,0,0,92,0,0,4,0,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,11,0,0,20,0,0,0,0,0,0,30,0,0,27,2,1,115,1,0,38,0,0,16,0,1,11,9,0,8,0,1,0,0,0,0,1,0,0,0,6,29,0,4,31,0,0,0,2,0,7
"f__Russulales_fam_Incertae_sedis",0,0,0,0,0,0,0,15,0,0,10,0,0,12,0,0,6,0,0,26,0,0,66,0,0,7,0,5,0,2,13,8,0,8,16,20,0,69,0,0,0,0,80,0,0,26,15,42,5,2,82,0,0,0,0,0,0,13,0,4,28,0,2,8,0,13,14,40,0,0,12,0,43,0,0,108,9,0,0,0,0,0,4,2,14,8,0,9,12,0,146,10,0,0,11,6,0,9,0,0,0,23,0,0,58,0,21,11,0,4,14,0,0,11,0,29,6,1,95,2,9,59,9,0,0,46,0,26,5,0,0,6,12,19,1,0,14,0,0,35,15,0
"f__Hypocreaceae",0,2,18,8,10,4,7,0,3,9,0,37,2,0,44,0,11,36,0,45,8,4,27,8,17,27,12,28,0,1,55,69,0,81,15,15,68,6,0,0,4,12,12,0,14,31,9,16,15,75,11,9,12,33,7,23,5,0,0,0,0,8,0,0,10,0,0,9,3,0,2,19,26,0,6,0,0,20,0,0,10,0,0,22,0,0,5,0,19,3,3,0,48,5,12,108,0,0,52,4,0,4,54,0,0,38,0,0,51,8,3,13,0,2,29,0,6,23,9,2,99,0,0,0,0,0,17,0,0,0,0,4,24,5,8,32,27,5,31,12,6,0
"f__Crepidotaceae",0,6,21,0,45,0,19,957,15,0,0,37,0,60,12,0,71,54,0,115,0,8,8,36,0,25,62,0,0,2,21,0,28,26,0,20,151,0,0,0,0,62,0,0,0,0,7,55,46,70,3,0,0,0,5,0,13,17,0,3,22,0,0,4,0,27,0,2,0,0,33,0,0,0,14,32,0,8,0,8,23,0,0,29,21,1,10,61,68,7,15,0,9,0,17,60,584,0,59,0,0,101,23,17,56,46,25,219,101,24,66,389,8,48,11,12,1,0,5,10,6,23,20,0,0,307,8,18,13,0,0,19,52,50,26,325,23,0,6,29,16,0
"f__Physalacriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,1,3,0,24,0,0,0,0,0,1,0,0,0,0,15,0,9,0,5,12,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,8,0,6,0,0,0
"f__Pleosporales_fam_Incertae_sedis",0,1,4,0,0,0,0,18,7,0,32,0,0,3,0,21,1,0,2,16,0,0,2,24,72,17,0,3,10,4,4,17,5,20,12,0,24,16,0,0,0,6,0,4,0,0,0,15,10,22,9,0,6,0,0,20,5,8,0,7,2,0,15,0,21,5,18,0,1,0,0,7,0,0,0,46,8,29,0,3,29,0,9,12,15,0,7,4,5,2,32,0,1,0,4,3,0,0,18,1,0,4,6,0,12,0,0,7,7,0,3,8,0,0,5,17,4,1,5,2,0,0,3,0,0,34,23,10,5,0,0,12,7,17,24,73,21,24,5,30,8,0
"f__Pyxidiophoraceae",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,640,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,5,0,0,0
"f__Ganodermataceae",0,0,0,1,0,1,0,0,53,0,0,0,0,0,19,2,0,45,0,3,7,0,0,8,0,4,166,0,17,1,2,23,0,28,5,0,146,0,0,0,0,0,115,2,55,0,22,2,5,1,33,3,29,0,1,10,37,3,0,0,0,143,0,0,0,0,0,0,0,0,5,0,0,0,24,0,4,6,0,0,16,0,0,28,0,0,5,5,3,10,11,0,97,0,0,162,0,0,0,6,0,17,138,0,0,22,14,0,56,0,0,9,0,0,29,24,5,13,7,0,151,0,20,0,0,7,14,26,11,221,0,6,11,13,2,25,64,0,55,0,5,9
"f__Lasiosphaeriaceae",0,0,0,0,0,0,0,0,2,0,0,0,0,13,17,0,0,25,0,8,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,14,0,0,0,0,0,0,0,45,78,1231,21,0,0,4,0,18,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,14,4,26,0,0,0,0,192,0,0,0,0,471,158,0,42,6,4,0,0,0,0,0,0,0,1,0,0,4,0,8,0,0,9,0,0,0,2,4,0,0,42,0,10,0,0,60,44,0,0,0,0,0,0,0,16,0,0,14,0,0,11,9,0,0,10,11,0,21,2,21,15
"f__Acrocalymmaceae",0,0,0,1,0,0,0,0,15,0,0,0,24,6,6,1,8,37,0,0,0,0,3,0,4,2,17,5,0,1,0,32,4,35,5,11,35,28,0,0,4,27,0,0,15,0,4,0,4,44,2,1,19,0,2,13,1,3,0,0,6,5,0,0,5,8,0,1,34,0,3,8,0,0,19,0,8,9,0,0,2,2,3,4,8,0,9,14,26,2,0,0,23,0,0,30,0,0,34,0,0,3,40,0,6,10,53,13,67,2,4,331,0,0,2,4,3,19,2,1,27,0,0,0,0,8,30,5,0,5,0,5,7,6,5,29,2,2,13,13,9,42
"f__Lophiostomataceae",6,3,0,0,4,0,5,18,6,0,13,23,23,1,18,0,8,23,0,13,2,0,0,14,31,14,2,10,0,1,26,56,8,20,22,124,51,196,0,0,4,35,0,10,51,0,20,19,17,32,3,0,5,0,4,11,12,0,12,0,12,0,0,2,16,6,6,7,1,0,2,0,0,73,6,8,0,28,0,0,3,0,2,22,3,15,5,14,7,4,17,20,30,0,8,23,0,0,45,2,9,6,12,5,0,2,17,24,32,10,83,83,0,6,0,31,3,11,3,9,19,10,0,0,0,32,8,18,14,9,0,2,18,8,9,10,6,11,22,13,40,35
"f__Clavicipitaceae",0,0,0,0,0,0,9,0,22,0,0,13,6,9,32,0,0,34,0,6,0,15,0,6,0,5,24,0,0,0,0,1,2,71,3,0,63,0,0,0,0,0,0,0,38,0,34,0,0,35,3,0,31,0,0,22,6,0,0,0,0,151,0,0,30,0,1,0,0,0,0,0,0,0,31,0,0,75,0,0,109,0,0,34,0,0,49,7,68,1,0,0,12,60,0,23,0,0,8,0,25,0,7,0,0,39,0,0,28,0,2,65,0,0,3,4,0,34,0,0,0,0,0,0,59,0,0,1,0,15,0,118,58,0,0,46,1,5,108,0,0,1
"f__Pyronemataceae",0,0,16,56,59,0,0,8,20,0,10,34,0,0,10,0,58,84,0,49,137,28,0,42,3,14,107,0,49,0,0,8,9,59,0,0,4,0,6,0,0,0,0,0,118,0,46,21,0,174,3,12,11,0,0,81,47,0,73,6,0,14,0,0,87,6,0,0,17,44,0,59,0,0,213,0,0,27,0,0,174,0,0,155,0,0,29,0,0,1,1,0,47,152,0,53,0,0,0,4,0,0,15,0,0,3,0,0,88,0,7,182,0,0,0,2,16,51,20,0,47,0,0,0,0,8,95,4,0,223,0,0,0,0,33,192,117,0,53,0,12,18
"f__Chaetosphaeriaceae",0,0,3,0,0,0,0,0,31,0,0,15,0,0,24,0,0,54,0,0,0,0,0,34,0,0,0,2,7,0,0,6,0,11,0,0,12,0,0,0,0,15,0,0,15,0,24,0,0,2,0,0,16,0,0,0,0,0,0,1,0,5,3,0,10,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,13,0,0,42,0,0,25,0,12,0,8,0,0,0,0,0,196,0,0,67,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,10,0,13,1,0,4,0,0,0,0,0,42
"f__Sporidiobolaceae",0,0,30,0,210,0,1,0,0,92,0,12,0,0,2,0,0,19,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,16,0,6,2,27,0,0,77,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,1,1,0,0,48,0,0,1,0,1,2,0,0,0,2,0,0,0,6,0,3,0,0,0,0,0,0,0,16,0,0,7,2,0,15,353,0,0,0,0,0,2,0,0,0,4,0,0,2,0,8,1,0,2,0,2,0,0,0,1,0,0,3,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0
"f__Hypocreales_fam_Incertae_sedis",0,0,13,0,0,0,16,8,7,0,0,0,10,0,29,0,0,121,0,5,0,0,0,4,35,2,54,0,0,0,0,35,0,35,16,0,63,0,0,0,0,17,92,0,63,0,34,4,4,9,24,0,70,0,0,6,4,0,0,0,0,1,3,0,8,2,13,1,28,0,5,21,0,0,344,10,4,62,0,0,33,56,0,16,8,0,3,28,15,21,0,0,38,35,1,115,0,0,36,0,0,0,79,0,0,52,0,4,5,0,6,88,0,4,0,16,1,3,0,0,139,0,0,0,0,0,14,35,0,13,0,5,59,293,6,13,202,4,11,35,0,66
"f__Hydnaceae",0,0,0,30,0,0,0,0,0,0,0,95,0,0,6,0,0,153,0,0,55,0,0,84,0,0,311,0,4,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,202,0,59,2,10,8,0,0,0,0,0,0,0,0,0,0,0,0,44,8,0,2,0,0,0,0,0,0,0,0,0,0,4,0,45,0,95,0,0,0,0,0,0,0,0,0,0,0,8,9,7,0,0,0,5,8,0,0,4,0,0,20,2,0,0,0,0,0,0,6,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"f__Massarinaceae",0,27,32,5,0,0,1,1,0,0,0,0,15,9,15,0,14,94,0,12,3,0,8,7,2,12,2,12,0,5,109,41,11,21,22,13,41,16,0,0,0,63,0,0,29,0,91,12,18,3,0,2,0,49,0,49,10,9,0,4,2,16,3,11,22,17,15,15,0,0,8,0,0,0,149,0,14,33,0,2,168,12,2,3,0,3,84,7,9,7,0,0,27,0,26,58,0,0,24,0,0,10,11,0,0,28,13,0,39,8,16,62,0,12,1,10,27,8,2,3,19,0,4,0,0,102,7,4,7,0,0,11,51,4,9,30,17,19,17,13,12,0
"f__Podoscyphaceae",0,0,8,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,41,0,0,0,0,0,3,0,0,539,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,4,0,0,0
